sheet_tab,title,isbn,creator,subject_code,subject,publisher,date,language,collector,sourceURL
DS_main,Ngày xưa có một con bò,9786041246065,Camilo Cruz,L,Văn học & Tiểu thuyết,NXB Trẻ,2022,vi,Ngô Thanh Tùng,
DS_main,Nguồn gốc của các loài,9786043405620,Charles Darwin,S,Khoa học xã hội,NXB Tri Thức,2009,vi,Bùi Minh Quân,
DS_main,Ngựa ô yêu dấu,9786044072005,Anna Sewell,L,Văn học & Tiểu thuyết,NXB Văn Học,2020,vi,Ngô Thanh Tùng,
DS_main,Người đàn ông mang tên Ove,9786041104099,Fredrik Backman,L,Văn học & Tiểu thuyết,NXB Trẻ,2017,vi,Ngô Thanh Tùng,
DS_main,Người đua diều,9786049968952,Khaled Hosseini,L,Văn học & Tiểu thuyết,NXB Phụ nữ Việt Nam,2018,vi,Ngô Thanh Tùng,
DS_main,Người thầy,9786326230031,Nguyễn Chí Vịnh,L,Văn học & Tiểu thuyết,NXB Quân Đội Nhân Dân,2023,vi,Ngô Thanh Tùng,
DS_main,Nhà giả kim,9786045396391,Paulo Coelho,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2020,vi,Ngô Thanh Tùng,
DS_main,Nhật Ký Đặng Thuỳ Trâm,9786045317310,Đặng Thuỳ Trâm,H,Lịch sử,Nhà xuất bản Hội Nhà Văn,2005,vi,Ngô Thanh Tùng,
DS_main,Những cuộc phiêu lưu của Pinocchio,9786044972060,Carlo Collodi,L,Văn học & Tiểu thuyết,NXB Văn Học,2019,vi,Ngô Thanh Tùng,
DS_main,Những kẻ âu lo,9786041195202,Fredrik Backman,L,Văn học & Tiểu thuyết,NXB Trẻ,2022,vi,Ngô Thanh Tùng,
DS_main,Những Ngày Thơ Ấu,9786043236477,Nguyên Hồng,L,Văn học & Tiểu thuyết,NXB Tự Lực văn đoàn,1938,vi,Ngô Thanh Tùng,
DS_main,Nói dối như Cuội,,Dân gian truyền miệng,,,Không rõ,Không rõ,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Nỗi buồn chiến tranh,9786041001985,Bảo Ninh,H,Lịch sử,NXB trẻ,2022,vi,Ngô Thanh Tùng,
DS_main,Nợ như Chúa Chổm,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Nữ hành giành bạc,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Ngô Thanh Tùng,
